steadyClockTime,cvTime,celcius,throttleStatus,clockSpeed
1267383120,,37972,131072,1500398464
1278113978,,37972,131072,1500398464
1288830281,,36998,131072,1500345728
1299788321,,36998,131072,1500345728
1310656473,,36998,131072,1500345728
1321426053,,36998,131072,1500398464
1332141449,,37485,131072,1500398464
1342918232,,37485,131072,1500398464
1353651683,,37485,131072,1500345728
1364365079,,37485,131072,1500345728
1375131362,,37485,131072,1500398464
1385850239,,37485,131072,1500398464
1396670540,,37972,131072,1500345728
1407377418,,37972,131072,1500398464
1418022351,,37485,131072,1500398464
1431297616,,37485,131072,1500345728
1442704779,,37485,131072,1500398464
1453565413,,37485,131072,1500398464
1464297623,,37485,131072,1500398464
1475198275,,37485,131072,1500398464
1485878875,,37972,131072,1500345728
1497115670,,37972,131072,1500345728
1507788844,,37485,131072,1500345728
1518479795,,37485,131072,1500345728
1529100025,,36511,131072,1500345728
1539973270,,36511,131072,1500345728
1550777905,,37485,131072,1500345728
1561449653,,37485,131072,1500398464
1572148197,,36998,131072,1500398464
1582994979,,36998,131072,1500398464
1593673042,,37972,131072,1500398464
1604483232,,37972,131072,1500398464
1615372366,,37972,131072,1500345728
1626177723,,36998,131072,1500345728
1636848564,,36998,131072,1500345728
1647674402,,37972,131072,1500398464
1658495111,,37972,131072,1500398464
1669267839,,36998,131072,1500398464
1680051067,,36998,131072,1500398464
1690869072,,36024,131072,1500345728
1701771650,,36024,131072,1500345728
1712419453,,36998,131072,1500345728
1723197922,,36998,131072,1500345728
1733750246,,37485,131072,1500345728
1744484289,,37485,131072,1500398464
1755269221,,36998,131072,1500345728
1765915599,,36998,131072,1500398464
1776766140,,36998,131072,1500398464
1787552090,,36998,131072,1500398464
1798296152,,36998,131072,1500345728
1809100491,,36998,131072,1500398464
1819860145,,37485,131072,1500398464
1830574929,,37485,131072,1500345728
1841211641,,37485,131072,1500345728
1851954554,,37485,131072,1500398464
1862619469,,37485,131072,1500398464
1873258995,,37485,131072,1500345728
1883935651,,36998,131072,1500345728
1894667676,,36998,131072,1500345728
1905383441,,37485,131072,1500398464
1916210669,,37485,131072,1500398464
1926877324,,37485,131072,1500345728
1937626441,,37485,131072,1500345728
1948449150,,36511,131072,1500345728
1959241026,,36511,131072,1500398464
1969872811,,37485,131072,1500398464
1980562374,,37485,131072,1500345728
1991645190,,37485,131072,1500345728
2004384203,,37485,131072,1500345728
2015272374,,37972,131072,1500345728
2026091750,,37972,131072,1500345728
2036804553,,37485,131072,1500345728
2047908683,,37485,131072,1500398464
2058779724,,36998,131072,1500345728
2069690376,,36998,131072,1500345728
