steadyClockTime,cvTime,celcius,throttleStatus,clockSpeed
915544251,,37485,131072,1500398464
926274377,,37485,131072,1500398464
937048483,,37972,131072,1500398464
947615203,,37972,131072,1500398464
958332087,,36024,131072,1500345728
969008398,,36024,131072,1500398464
979805949,,36998,131072,1500345728
990602277,,36998,131072,1500345728
1001412975,,36024,131072,1500345728
1012096953,,36024,131072,1500345728
1022911040,,36024,131072,1500345728
1033808942,,36998,131072,1500398464
1044543437,,36998,131072,1500398464
1055165008,,38459,131072,1500398464
1066889104,,38459,131072,1500398464
1077981374,,36511,131072,1500345728
1088846979,,36511,131072,1500345728
1099514975,,36998,131072,1500398464
1110301063,,36998,131072,1500398464
1121055077,,36998,131072,1500345728
1131812091,,36998,131072,1500345728
1142631919,,37485,131072,1500345728
1155231283,,37485,131072,1500398464
1186758314,,37485,131072,1500398464
1226546275,,37972,131072,1500345728
1266591807,,38459,131072,1500398464
1302549235,,38459,131072,1500345728
1342544175,,37972,131072,1500345728
1378554509,,38946,131072,1500345728
1414567603,,39433,131072,1500345728
1450555938,,38946,131072,1500398464
1482559390,,38946,131072,1500398464
1514554657,,38946,131072,1500345728
1550563121,,38459,131072,1500345728
1586552956,,39433,131072,1500345728
1622538736,,39920,131072,1500345728
1654561484,,39920,131072,1500398464
1690560190,,39920,131072,1500398464
1722567308,,39433,131072,1500345728
1758551977,,38946,131072,1500398464
1790551633,,40407,131072,1500398464
1826554616,,39433,131072,1500398464
1858560958,,39920,131072,1500345728
1898576046,,39920,131072,1500345728
1934569344,,39920,131072,1500345728
1970563105,,39920,131072,1500345728
2002552650,,39433,131072,1500345728
2038558152,,39433,131072,1500345728
2070561345,,39920,131072,1500345728
2103253586,,39433,131072,1500398464
2130570570,,40894,131072,1500398464
2158573269,,39920,131072,1500345728
2206550087,,40407,131072,1500345728
2250555688,,40407,131072,1500398464
2290561758,,40407,131072,1500345728
2330560272,,40407,131072,1500398464
2362557021,,40407,131072,1500345728
2402562498,,40407,131072,1500345728
2442564494,,40894,131072,1500345728
2455981553,,41381,131072,1500398464
2502578441,,40894,131072,1500398464
2542545363,,40407,131072,1500398464
2586544353,,40894,131072,1500345728
2626546035,,39920,131072,1500398464
2662553611,,41381,131072,1500345728
2702579162,,41381,131072,1500398464
2742551437,,40894,131072,1500398464
2774547889,,41381,131072,1500345728
2814552200,,41381,131072,1500345728
2854551901,,39920,131072,1500345728
2898544650,,40894,131072,1500345728
2934554504,,40407,131072,1500345728
2974583056,,40407,131072,1500398464
3018542195,,40407,131072,1500345728
3058549913,,40894,131072,1500345728
3087957431,,41381,131072,1500345728
3126909846,,41381,131072,1500345728
3162575444,,41381,131072,1500398464
3202544033,,41381,131072,1500398464
3213616526,,41381,131072,1500398464
3258565876,,41381,131072,1500345728
3302561200,,41381,131072,1500398464
3342545733,,41381,131072,1500398464
3382550970,,41381,131072,1500345728
3422546430,,41381,131072,1500345728
3462545908,,40894,131072,1500345728
3502560589,,41381,131072,1500345728
3542548048,,41381,131072,1500398464
3574546982,,41381,131072,1500398464
3610542077,,41868,131072,1500345728
3650544204,,41381,131072,1500345728
3690582404,,41381,131072,1500398464
3730567160,,41868,131072,1500345728
